,item_num,rivew,rivew_date
31,4,"워낙 오프라인에서도 건강한 베이글로 유명한 &#54997;&#54997;베이글이라서 너모 궁금했는데
마켓컬리에서 판매해줘서 얼마나 고마운지 몰라용 >.<

&#54997;&#54997;베이글은
유기농/nonGMO 밀가루에 유기농 설탕, 우유, 버터, 오일, 계란이 들어가지 않은 베이글로 유명하더라구요.
전 빵을 정말 좋아하는 빵순이이지만 소화기관이 그만큼 튼튼하지 못해 빵을 너무 많이 먹으면 종종 속이 불편해요,,,
그래서 이런 건강한 빵을 판매하는 곳을 보면 늘 한보따리 사는 편인데
매장이 집에서 좀 떨어져 있어서 아직 가보지 못했거든요
ㅠ_ㅠ,,ㅎㅎㅎㅎ하지만 마켓컬리에서 판매하는 걸 알게된 이후로는 전혀 걱정없이 새벽배송으로 집앞에서 받아보고 있어요.
&#54997;&#54997;베이글은 정말 속이 불편한 게 전혀 없더라구요. 신기했어요.ㅎㅎㅎㅎ
***그리고 저는 항상 통밀 베이글로 주문해요. 제일 소화가 잘되는 느낌이에요!ㅎㅎㅎ
이건 개인적인 느낌인지 모르겠는데 다른 베이글보다 촉촉하고 부드럽답니다.
아침 식사로 먹으면 하루가 행복해져요.
저희 집에는 오븐이 있어서 오븐에 살짝 구워먹으면 그냥 먹어도 맛있지만
그래도 전 단백질?을 생각해서 치즈와 햄을 올리는 편이에요.
오븐이 없으신 분은 전자레인지에 살짝 돌리거나 후라이팬에 살짝 구워주시면 더 맛있을 거에요.

간단하게 과정을 설명해볼게요.
1. 빵칼로 조심조심 베이글을 썰어서 한쪽에 햄과 치즈를 올려요.(반대편은 잠시 두세요 :)ㅎㅎㅎㅎ)
사진에 보시면 치즈를 아래에 깔고 위에 햄을 올렸는데 오븐에 굽다보면 치즈가 바닥으로 녹아서 떨어지더라구요.
그래서 그 뒤로는 햄을 올리고 그 위에 치즈를 올려요.
여러분도 참고하세요 :)
2. 햄은 컬리에서 판매하는 존쿡델리미트 목살베이컨 사용했구요
치즈는 역시 컬리에서 판매하는 상하 더블업 체다 슬라이스 사용했어요. ㅎㅎㅎㅎㅎㅎㅎㅎ
이 상태로 오븐 180도에서 7분정도 구워주고(잘라낸 반대편 베이글도 함께 굽는거에요)
3. 구워진 베이글을 접시에 올려요. 그 다음 코즐릭스 트리플크런치 머스타드를 얇게 펴발라주세요!!!이게 정말 맛에 한몫한답니다.
4. 마지막으로 어린잎채소를 살짝 얹어주세요.
5. 잘라놓은 반대편 베이글을 겹쳐서 먹으면
베이글 샌드위치의 정석이 완성돼요!!
사진에는 없지만 어린잎채소 대신 양상추를 얹어도 좋구요.
조금 아침에 여유가 있다면 계란 후라이를 해서 얹어도 맛이 좋아요.
아무것도 올리지 않았던 반대편 베이글에 크림치즈를 얇게 펴발라서 겹쳐 먹어도 맛이 좋더라구요!
가끔은 훈제 연어를 올려서 연어 베이글로 먹어도 맛있어요. 연어에 어린잎채소 조합이 좋았답니다.
물론 그냥 버터에 과일잼을 발라먹어도 맛있겠지요.
매일 다른 레시피로 아침 식사로 굉장히 애용하고 있어요. ㅎㅎㅎㅎㅎ
다음번에는 앙버터나 콘치즈 같은 필링이 들어간 베이글도 도전해보려고 해요! 다들 &#54997;&#54997;베이글로 귀엽고 행복한 아침식사하세요! :)",2019.12.03
32,4,낱개 먹어보고 만족해서 여러개 구입합니다,2023.03.09
33,4,"가성비 굿굿 
데워먹지 못해서 그런지 쫀득함은 없었지만
통밀이고 개별포장이 잘되어있어 좋았음",2023.03.09
34,4,유명한 훕훕베이글 처음 구매해봤네요 에프에 약간 돌려 먹으니 넘 고소하고 맛있어요ㅎㅎ,2023.03.09
35,4,통밀이라 빵 먹고 싶을 때 먹으려고 샀는데 설마 배신하지 않겟죠???ㅠㅠ ‧⁺◟( ᵒ̴̶̷̥́ ·̫ ᵒ̴̶̷̣̥̀ ),2023.03.09
36,4,"역시 훕훕베이글. 부드럽고, 맛있어요.",2023.03.09
37,4,이번 베이글은 표면이 너무 탔네요.초코빵 인줄..,2023.03.09
38,4,가성비좋은베이글이네요.,2023.03.09
39,4,가성비좋음듯한 베이글,2023.03.09
40,5,훕훕베이글 쫀듣하고 맛있습니다 5개라 넉넉하고 좋아여,2023.03.09
41,5,베이글 이것만 먹어요! 모양도 이쁘고 패키지도 귀여! 맛도좋음!,2023.03.09
42,5,"두번째 먹는건데
훕훕베이글이 제 입맛엔 맛있어요
오리지날이 품절이라
유기농으로 사봤는데
맛은 똑같아요!",2023.03.08
43,5,쌀베이글이라 단백하고 부드러워요 하나로 포만감이 꽉차요,2023.03.08
44,5,가격은있지만 그래도 베이글먹고싶어구매햇고 잘삿어요 맛나고 좋네요ㅎ,2023.03.08
45,5,훕훕 통밀 자주 먹어요,2023.03.07
46,5,링이 같이 주문한 다른 베이글보다는 얇은 느낌이었어요 하지만 통밀이라 좋고 꽤 맛있습니다! 구워서 빠삭하게 먹는 것을 즐기기때문에 통밀임을 따로 느끼지는 못했어요,2023.03.06
47,5,에프에 돌려먹었더니 바삭촉촉 맛있어요!,2023.03.06
48,5,"종종 시켜먹는 베이글입니다 ㅎㅎ
맛있어요",2023.03.06
49,5,훕훕 베이글은 사랑입니다,2023.03.05
50,6,"넘 맛있어요!
2인 가족이라 베이글, 크림치즈를 대용량으로 사면
유통기한이 지날 때도 있고
날짜는 지나지 않아도 오래 되어 맛이 없어져
버릴 때도 있어요.
근데 그렇게 버리고 나면 꼭 베이글 샌드가 먹고 싶더라구요.
오랜만에 컬리 들어와보니 베이글 샌드가 딱!
블루베리는 품절이라 무화과만 사보았는데, 만족입니다.

1)양이 한 번 먹기 딱 적당해요!
2)크림치즈가 넉넉히 샌딩되어있고,
 졸인 무화과?와의 조합도 너무 좋아요.
 확실히 두 가지가 들어가니 풍미와 식감이 더 좋네요.
3)개별 포장 되어 가지고 다니기도 좋아요.
 점심을 간단히 먹고플 때가 있는데,
 크림치즈까지 샌딩된 채 포장되어 있으니
 요거 하나만 가지고 다니면 한 끼 해결 가능해요.

저는 주기적으로 재구매 할 것 같아요.
블루베리 바로 주문하러 가봅니다 :)",2023.03.05
51,6,아침식사로 먹었어요.맛있게 잘먹었습니다.,2023.03.09
52,6,"빵이 좀 말라서 담백한 식감은 부족
대량을 노출해서 만드는지...",2023.03.09
53,6,"훕!
반쪽에 이 가격이라니...
블루베리의 상큼함과 크림치즈의 부드러움이 조화롭지만 기대가 너무 컷나?^^
한번 먹어본거루 만족~",2023.03.09
54,6,블루베리 맛은 먹어봤는데 무화과맛은 처음이라 구매해봐요,2023.03.09
55,6,몇일전 구매했는데 맛있어서 아침으로 재구매 합니다,2023.03.09
56,6,"블류베리맛이랑 같이 구매했는데요.
빵 사이즈가 비교되기도 했고( 반 잘린 빵이 작음)블루베리맛이 더 맛있었어요(개인적인 입맛)",2023.03.09
57,6,"유명템이여서 구매를 해봤구요.
생각보다는 평범한 맛이였어요.
전자레인지에 꼭 20초 돌려드세여",2023.03.09
58,6,맛있어요 간편하게 먹기 좋아요,2023.03.09
59,6,맛있게 잘 먹었습니다 !,2023.03.09
60,7,"패키지 디자인이 엑설런트라는 이름에 걸맞게 매우 깔끔하고 세련되어 보였습니다. 

상자를 열어보면 롤 케이크가 깔끔하게 포장되어 있었고 적당한 크기로 소분되어 있어서 나눠서 먹기 정말 편리하네요.

엑설런트 롤케이크를 한입 먹어보니 부드러운 롤 시트와 엑설런트 바닐라맛 크림이 입안에서 살살 녹아들었습니다. 특히 롤 케이크의 쫀쫀한 시트의 식감과 부드러운 내부의 조화가 매우 좋았습니다.

그리고 단 맛이 적당하고 너무 달지 않고 딱 좋았습니다.

컬리에서 구매해서 받았는데 녹지 않고 냉동 상태로 배송어서 해동 후 먹어도 집 앞 가게에서 사먹는 것과 차이가 없네요..^^

엑설런트 롤케이크의 맛과 디자인 모두 만족스럽습니다. 추천합니다.",2023.02.22
61,7,부들부들 진짜 부드러운 바닐라 맛이예용ㅋ!!!집들이할때 간식용으로 사용하려구 손님용으로 구입했는데ㅋㅋ남편이랑 하나까서 그자리에서 먹었어요ㅋㅋ한5분정도 실온에 냅두고 먹으니까 빵도 포슬포슬하니 부드럽고 진짜맛있어요ㅋㅋ진짜짱맛있음!!,2023.03.09
62,7,가격대비 별루에요 다시는안살듯,2023.03.09
63,7,엑설런트가 바닐라롤로 나오다니!! 진짜 대박이에요! 엑설런트 맛 하면 정말 추억의 맛인데… 이게 바닐라롤이라니! 심지어 정말로 부드럽고 실키해요. 부드러운 바닐라 맛 그대로를 잘 표현했다고 해야할까요? 엑설런트 맛 그대로이면서 롤로 만들어져서 부드러움과 푸짐함까지 챙기는 디저트가 아닐까 싶어요 :),2023.03.08
64,7,"원래부터 롤케이크를 좋아해서 구입하게 되었는데요. 엑설런트란 이름이 친숙해 구입했는데 정말 후회없을 맛이네요.

특히 부드러운 바닐라맛이 너무 촉촉하고 달달했고, 진하게 달콤한 텁텁한 맛이 아니라 가볍고 향긋한 달콤함으로 진짜 바닐라 맛 그대로를 느낄 수 있는 롤케이크라 너무 맛있었어요.

부드럽고 촉촉하면서 부드러운 바닐라맛 맛보고 싶다면 꼭 구입해 드셔보세요.

요즘은 우리집 아이가 한번 먹어보더니 매번 알아서 장바구니에 넣어버리네요;;;;켁;;",2023.03.08
65,7,"어릴때부터 엑설런트를 진짜 좋아해서
쟁여놓고 먹었었는데요 ㅎ
엑설런트맛은 여전하네요
롤과 함께 있어서 바로 먹는 것도 좋지만
냉장에서 조금 해동해서 먹으면 기가 막히네욬ㅋㅋ",2023.03.07
66,7,"엑설런트도 좋아하고, 빵순이라서
엑설런트 롤케이크 바로 주문했는데
빵도 폭신폭신한 식감에 크림이
부드러운 바닐라 맛으로 반해버렸어용~
아메리카노랑 꿀조합 우유랑도 잘 어울려요👍",2023.03.07
67,7,"우왕 이거 몬가요~? 디저트류를 좋아해서
호기심에 구매해봤는데 너무 맛있자나용^—^
고급지고 빵도 부드럽고 가운데는 엑설런트 바닐라맛인데
너무 맛나요~~ 포장도 고급지게 두개 들어있는데
하나에 4조각 나옵니다!! 양도 적지않아요",2023.03.06
68,7,부드러운 바닐라 맛 시트 속에 샤르르 얼어있는듯 녹아있는 크림. 시원하면서도 촉촉한 아이스크림 잘 먹었습니다,2023.03.06
69,7,"역시 부드러운 바닐라맛은 엑설런트 최고에요!! 원래 엑설런트 좋아하는데 신제품이 컬리에 있길래 주문해봤어요:) 굳굳 빵이랑 같이 먹으니깐 더 맛있고요, 해동 시간 1시간 넘게하면 크림 같은 느낌으로 변해서 더 부드러워요~ 케케 적당히 달달한 디저트 생각날 때 추천해요!",2023.03.05
70,8,그냥그래요 ㅎ ㅎ ㅎ,2023.03.09
71,8,"요거 넘 맛있네요.
먹기 1시간 전에 실온에 두고 먹으니 넘 맛나네요.",2023.03.08
72,8,"잘 받았어요 
감사합니당~",2023.03.08
73,8,ㅎㅎ 맛 없어요 이게 뭐람,2023.03.08
74,8,"맛있습니다.
다만 가격이 좀",2023.03.08
75,8,차갑게 먹으니 정말 맛있어요! 다이어트 중이라 최대한 자제중인데 아침에 너무 힘들때 먹고 있어요,2023.03.07
76,8,후기보고 구매합니다 맛나길,2023.03.06
77,8,그냥으로도 살짝 녹여서도 맛있는 빵입니다,2023.03.05
78,8,"솔직히 재구매는 안할 것 같아요
안에 크림은 괜찮은데 빵피가 너무 푸석해요..",2023.03.05
79,8,"크림은 부드러우면서 달콤하고
빵은 폭신 
입속에서 사라짐
마약크림빵ㅎㅎ",2023.03.05
